Activity Date,Activity Type,Elapsed Time,Distance,Elapsed Time,Moving Time,Distance,Elevation Gain,Elevation Low,Elevation High
"Sep 22, 2015, 11:49:29 AM",Run,3461,12.68,3461,3457,12683.09961,23.15430069,1.799999952,15.60000038
"Sep 27, 2015, 10:25:43 AM",Run,5837,21.33,5837,5810,21338.40039,71.53579712,1,43.29999924
"Sep 29, 2015, 2:13:05 PM",Run,2618,9.87,2618,2612,9878.700195,28.6678009,1.200000048,18
"Sep 30, 2015, 11:38:16 AM",Ride,6806,32.75,6806,5427,32755.5,197.2949982,0.899999976,54.79999924
"Oct 4, 2015, 10:45:06 AM",Run,5918,21.35,5918,5914,21355.80078,100.3330002,2.299999952,49.20000076
"Oct 10, 2015, 1:20:23 PM",Run,3781,13.9,3781,3755,13908,22.5366993,1,15.80000019
"Oct 13, 2015, 3:17:29 PM",Run,3530,13.33,3530,3510,13338.7002,26.9192009,2,18
"Oct 18, 2015, 3:35:51 PM",Run,6787,23.82,6787,6612,23823.59961,79.24349976,1,42.40000153
"Oct 22, 2015, 6:49:13 PM",Run,3704,13.55,3704,3704,13558.40039,23.33410072,1.799999952,15.69999981
"Oct 29, 2015, 5:00:39 PM",Run,2665,9.42,2665,2615,9426.400391,25.55330086,1.899999976,18
"Nov 1, 2015, 10:59:41 AM",Run,7768,27.55,7768,7761,27553.09961,94.78089905,1,42.70000076
"Nov 11, 2015, 7:35:46 PM",Run,3030,10.24,3030,3026,10240.40039,26.15719986,1.399999976,18
"Nov 18, 2015, 3:27:29 PM",Run,3735,14.31,3735,3733,14314.2998,41.32799911,1,18
"Nov 20, 2015, 1:06:44 PM",Run,3820,14.04,3820,3812,14048.40039,40.07419968,1.299999952,18
"Nov 24, 2015, 4:13:02 PM",Run,3720,13.94,3720,3714,13940.09961,39.33940125,1.399999976,18
"Nov 26, 2015, 7:18:07 PM",Run,3680,14.09,3680,3680,14097.90039,29.38409996,0.899999976,18
"Nov 29, 2015, 11:58:47 AM",Run,2862,10.74,2862,2843,10746.5,68.87553406,1.700000048,15.60000038
"Dec 30, 2015, 10:23:03 PM",Run,2768,10.44,2768,2768,10439.5,29.27899933,1,18
"Jan 1, 2016, 3:34:13 PM",Run,2826,10.62,2826,2798,10621.40039,26.80430031,1.5,18
"Jan 3, 2016, 3:14:08 PM",Run,3917,14.25,3917,3914,14257.7998,29.00329971,1.799999952,18
"Jan 11, 2016, 1:22:17 PM",Run,4170,15.48,4170,4131,15485.7002,45.41770172,1.799999952,20.5
"Jan 14, 2016, 11:59:29 AM",Run,5195,18.39,5195,5190,18397.80078,35.00289917,0.899999976,20.20000076
"Jan 26, 2016, 6:27:40 PM",Run,4238,14.92,4238,4236,14920.2998,39.63299942,1.899999976,17.89999962
"Feb 8, 2016, 8:52:44 PM",Run,4853,17.88,4853,4850,17882.90039,48.32799911,1.5,20.10000038
